ticker,date,speaker,complexity_score,sentiment_score,generalizing_score,self_reference_score,forward_looking_ratio,quantitative_ratio,positive_tone_density,risk_keyword_density,complexity_score_zscore,sentiment_score_zscore,generalizing_score_zscore,self_reference_score_zscore,forward_looking_ratio_zscore,quantitative_ratio_zscore,positive_tone_density_zscore,risk_keyword_density_zscore,neg_sentiment_zscore,composite_risk_score,composite_risk_score_zscore,next_quarter_return,next_quarter_volatility,return_class,volatility_class,return_pred,return_proba,volatility_pred,volatility_proba,preset_group
AAPL,2023-11-02 17:00:00,,8.786280063623327,0.2567739382239382,0.0,0.0532651902328222,0.0068143100511073,0.0212379329926178,0.0067007382169222,0.0023850085178875,-0.6217745262595107,-0.0876271731791534,-1.8358553503080737,1.2239341236876844,-0.0509791776633419,-1.1543850242102331,0.494503210865963,-1.4726835568063952,0.0876271731791534,-0.6689436366289173,-1.3079891231121696,0.0452473034693896,0.0115965093986151,1,0,1,0.7051265813529348,0,0.4786375828263897,Big Tech (FAANG+)
AAPL,2023-08-03 17:00:00,,9.204699090391134,0.2507917960088692,0.0004790419161676,0.0523353293413173,0.0059880239520958,0.0225149700598802,0.0059880239520958,0.0028742514970059,0.205941691422319,-0.2573775718504346,-0.5292232686045626,0.9690153026382028,-0.783255063278921,-0.9429715113952688,0.0272814370682584,-0.8546997976621553,0.2573775718504346,-0.1304601781298005,-0.255089494315223,-0.0427773724366649,0.0128848872215339,0,0,1,0.6229234578903691,1,0.5649627574381735,Big Tech (FAANG+)
AAPL,2023-05-04 17:00:00,,9.530301424047575,0.2550772009029345,0.0009622323791195,0.0496752465720471,0.0051719990377676,0.0181621361558816,0.0055328361799374,0.0026461390425787,0.8500479935767933,-0.1357741122397606,0.7887243663684519,0.2397608844435078,-1.5064372244442903,-1.6635832539480186,-0.2711181443834405,-1.1428384079464753,0.1357741122397606,-0.0523387673766404,-0.1023382758983048,0.1110580480695373,0.0087482038124686,1,0,1,0.650752950892743,1,0.5750437739409725,Big Tech (FAANG+)
AAPL,2023-02-02 08:00:00,,9.24705954026284,0.1986415555555555,0.0007465472191116,0.0526315789473684,0.005599104143337,0.0260047281323877,0.0053502550702998,0.0042304342416324,0.2897391028783839,-1.7372026561577956,0.2004227165497682,1.05023132215343,-1.1279257502636728,-0.3652419905405841,-0.3908096871472266,0.8583527066803694,1.7372026561577956,0.9617648219055164,1.8805439758479396,0.0854736927711645,0.013248048751198,1,0,1,0.7248175770477538,1,0.5922856466191984,Big Tech (FAANG+)
AMZN,2023-02-02 17:30:00,,10.496445487741262,0.2357423631123919,0.0006656903208627,0.0615097856477166,0.0061243509519371,0.0150446012514978,0.0038610038610038,0.0050592464385567,1.1773430629669526,-1.1446373005349122,-0.3032133890271964,2.199165506239903,-0.3682725984566209,-1.0193332134347686,-0.8645789659009884,1.4342796088035137,1.1446373005349122,1.252086657435126,2.592394789394969,0.0025147706525327,0.0201598024045738,1,1,1,0.7207139518794705,1,0.5910290549825501,Big Tech (FAANG+)
AMZN,2023-10-26 05:00:00,,11.275785306394445,0.3177662303664921,0.0003422703936109,0.0452937820878494,0.0051340559041642,0.0177980604677695,0.0031945236737022,0.0038790644609241,2.0626972397187324,1.2617466567175235,-1.1155966448440842,-1.3547956557504903,-0.922180110174723,-0.7469644288199464,-1.1552906387650492,-0.1140458765904174,-1.2617466567175235,0.2289682354702637,0.4740694719852711,0.2280413162718551,0.0133411611368286,1,0,1,0.701926346792302,1,0.5417616235818075,Big Tech (FAANG+)
AMZN,2023-08-03 17:30:00,,11.188921590370104,0.3136553892215569,0.0004009087264466,0.0519844981959107,0.006147267138848,0.0164372577843111,0.0041427235066149,0.0029399973272751,1.964017367409329,1.1411444160143345,-0.9683057832404256,0.1115671941444498,-0.3554547538168554,-0.8815733494111218,-0.7416958089599454,-1.3460436558151945,-1.1411444160143345,-0.1743902348067332,-0.3610679287649564,-0.0184137507297586,0.0212210427883885,0,1,1,0.6931224470202598,0,0.48366669210407437,Big Tech (FAANG+)
AMZN,2023-04-27 18:00:00,,10.925456833683032,0.2757028571428572,0.0009155113784985,0.0555846194088412,0.0047083442322783,0.0124247972796233,0.0034004708344232,0.0034004708344232,1.6647132420755326,0.0277079567412431,0.3243003387086167,0.9005834842541847,-1.1602959054763635,-1.2784809863640891,-1.0654586456232789,-0.7419310020224068,-0.0277079567412431,0.2983580944372942,0.6177383688262247,0.2152678767680191,0.017439284702686,1,1,1,0.7029349055287931,1,0.5497734014211728,Big Tech (FAANG+)
GOOGL,2023-02-02 16:30:00,,10.581668213317124,0.3358330188679245,0.001628664495114,0.0518667000751691,0.0063893760962164,0.0229265848158356,0.0052618391380606,0.0027562014532698,2.2715478563199283,1.3096354621117203,1.1749715224009312,0.4389880793928691,1.680569572999867,1.3801841215672777,0.1272978267042948,-0.1399137302473216,-1.3096354621117203,0.2739995546536287,0.5779747556664216,0.0060126909414831,0.0215441821380814,1,1,1,0.6588761498918271,1,0.5135821068948564,Big Tech (FAANG+)
GOOGL,2023-10-24 16:30:00,,10.060513191239068,0.3415418344519015,0.0020345879959308,0.0464140386571719,0.0045778229908443,0.0178026449643947,0.0057222787385554,0.0026703967446592,1.2925931318735957,1.5443656908459829,1.9811270042864304,-0.938448070787491,0.0566236553312895,0.2968781951756005,0.4100961445885107,-0.264282958688103,-1.5443656908459829,-0.1720185058868301,-0.3628558960094875,0.1622482490252384,0.0135141930046012,1,0,1,0.6997794207076621,0,0.48224952134517735,Big Tech (FAANG+)
